                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.67235,                 1.0229,                 1.1617,                0.45455,                0.35671,                0.35049,                0.23398,                 1.5579,                  2.682,                 1.9817,               0.004852,               0.004852,               0.004852
                    106,                0.67438,                0.99438,                 1.1542,                0.39085,                0.36241,                0.32811,                0.22542,                 1.5756,                 2.7405,                  1.997,              0.0048025,              0.0048025,              0.0048025
                    107,                0.66994,                0.98558,                 1.1608,                 0.3755,                0.39073,                0.34199,                0.22733,                 1.5404,                 2.6557,                  1.995,               0.004753,               0.004753,               0.004753
                    108,                0.67645,                 1.0117,                 1.1613,                0.34067,                0.40638,                0.32729,                0.22207,                 1.5731,                 2.7618,                 2.0052,              0.0047035,              0.0047035,              0.0047035
                    109,                0.67215,                0.99735,                 1.1636,                0.40103,                0.36261,                 0.3314,                0.20999,                 1.5779,                 2.6725,                 2.0168,               0.004654,               0.004654,               0.004654
                    110,                0.67242,                 1.0111,                 1.1604,                0.37497,                0.40933,                0.32962,                0.21832,                 1.5709,                 2.6715,                 2.0173,              0.0046045,              0.0046045,              0.0046045
                    111,                0.67327,                 1.0012,                 1.1576,                0.42571,                0.36663,                0.34066,                0.22709,                 1.5514,                 2.7192,                 2.0006,               0.004555,               0.004555,               0.004555
                    112,                0.66533,                0.99104,                 1.1566,                0.39782,                0.38692,                0.34045,                0.22986,                 1.5376,                 2.6365,                 1.9696,              0.0045055,              0.0045055,              0.0045055
                    113,                0.65006,                0.97732,                 1.1483,                0.40675,                0.37833,                0.33879,                0.22104,                  1.541,                 2.7076,                 1.9697,               0.004456,               0.004456,               0.004456
                    114,                 0.6632,                0.96257,                 1.1483,                0.32833,                0.39734,                0.31018,                0.20667,                 1.5439,                 2.8077,                 1.9788,              0.0044065,              0.0044065,              0.0044065
                    115,                0.65302,                 0.9833,                 1.1399,                0.41278,                0.34609,                0.31719,                0.20817,                 1.5533,                 2.6696,                 2.0065,               0.004357,               0.004357,               0.004357
                    116,                0.65686,                0.95795,                  1.144,                0.35733,                0.41756,                0.34087,                0.23126,                 1.5478,                 2.6279,                 2.0083,              0.0043075,              0.0043075,              0.0043075
                    117,                0.64451,                0.94919,                 1.1379,                0.39737,                0.36022,                0.32378,                0.21697,                 1.5531,                 2.8016,                 1.9776,               0.004258,               0.004258,               0.004258
                    118,                 0.6515,                0.96326,                  1.142,                0.40219,                0.37098,                0.32698,                0.21751,                 1.5423,                 2.6815,                 1.9813,              0.0042085,              0.0042085,              0.0042085
                    119,                0.65489,                0.96456,                 1.1479,                0.35544,                0.36822,                0.31041,                0.21756,                 1.5423,                 2.7552,                 1.9945,               0.004159,               0.004159,               0.004159
                    120,                0.63999,                0.94318,                 1.1383,                0.43367,                0.32732,                0.31248,                0.21624,                 1.5429,                 2.7863,                 1.9766,              0.0041095,              0.0041095,              0.0041095
                    121,                0.64901,                0.94621,                 1.1387,                 0.4047,                0.36053,                0.32635,                0.21641,                 1.5478,                 2.8107,                 1.9996,                0.00406,                0.00406,                0.00406
                    122,                 0.6419,                0.94307,                 1.1395,                0.41122,                0.36576,                0.33774,                0.23478,                 1.5556,                 2.7928,                 1.9956,              0.0040105,              0.0040105,              0.0040105
                    123,                0.64319,                0.94792,                 1.1372,                0.38134,                0.37357,                0.32693,                0.22685,                 1.5429,                 2.7268,                 1.9729,               0.003961,               0.003961,               0.003961
                    124,                0.64171,                0.94809,                 1.1427,                0.33766,                0.38563,                0.32269,                0.21885,                 1.5409,                  2.705,                 1.9707,              0.0039115,              0.0039115,              0.0039115
                    125,                0.62947,                0.89811,                 1.1216,                0.41802,                0.33396,                0.33589,                0.23391,                 1.5555,                  2.765,                  2.004,               0.003862,               0.003862,               0.003862
                    126,                0.64366,                0.92188,                 1.1357,                0.35623,                0.37956,                0.32703,                0.22983,                 1.5455,                 2.8081,                 1.9696,              0.0038125,              0.0038125,              0.0038125
                    127,                0.64146,                  0.937,                 1.1351,                0.39841,                0.39364,                 0.3324,                0.22963,                 1.5502,                 2.8585,                 2.0149,               0.003763,               0.003763,               0.003763
                    128,                0.63916,                0.93053,                 1.1415,                0.43251,                0.37985,                 0.3479,                0.23873,                 1.5207,                 2.7098,                 1.9951,              0.0037135,              0.0037135,              0.0037135
                    129,                0.63487,                 0.9238,                 1.1312,                0.42118,                0.34382,                0.33344,                0.22586,                 1.5255,                 2.7257,                 1.9983,               0.003664,               0.003664,               0.003664
                    130,                0.63411,                0.92519,                 1.1311,                0.41612,                0.38356,                0.33647,                0.22585,                 1.5409,                 2.7571,                 2.0034,              0.0036145,              0.0036145,              0.0036145
                    131,                 0.6221,                0.87824,                 1.1214,                0.38667,                0.39147,                0.33431,                0.22804,                 1.5453,                 2.7104,                 2.0057,               0.003565,               0.003565,               0.003565
                    132,                0.63122,                0.91125,                 1.1309,                0.41024,                0.38338,                0.34617,                0.23831,                 1.5125,                 2.7199,                 1.9549,              0.0035155,              0.0035155,              0.0035155
                    133,                0.62801,                0.88568,                 1.1199,                0.49392,                0.33328,                0.34097,                0.23098,                 1.5186,                 2.7259,                 1.9689,               0.003466,               0.003466,               0.003466
                    134,                0.63152,                0.91206,                 1.1338,                0.38554,                0.35436,                0.31609,                0.22387,                 1.5519,                 2.8119,                  2.003,              0.0034165,              0.0034165,              0.0034165
                    135,                0.61809,                0.88837,                 1.1166,                 0.3727,                0.40354,                0.33222,                0.22556,                 1.5257,                 2.7786,                 1.9553,               0.003367,               0.003367,               0.003367
                    136,                0.61344,                0.86191,                 1.1113,                0.37623,                0.40433,                0.33817,                0.23401,                 1.5387,                 2.7793,                 1.9732,              0.0033175,              0.0033175,              0.0033175
                    137,                0.61524,                0.86637,                 1.1195,                0.41594,                0.37629,                0.34027,                0.23134,                 1.5389,                 2.7892,                 1.9971,               0.003268,               0.003268,               0.003268
                    138,                0.61193,                0.85699,                 1.1141,                0.46501,                0.34291,                0.33105,                0.22953,                 1.5465,                 2.8618,                 2.0077,              0.0032185,              0.0032185,              0.0032185
                    139,                0.60904,                0.86801,                 1.1139,                0.44145,                0.38632,                0.34442,                0.23675,                 1.5355,                 2.7969,                 1.9938,               0.003169,               0.003169,               0.003169
                    140,                 0.6068,                0.85766,                 1.1116,                0.38988,                0.39791,                0.33945,                0.22934,                 1.5389,                 2.7565,                 1.9803,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.6049,                0.86488,                 1.1154,                0.35199,                0.39445,                0.33586,                0.23469,                 1.5287,                 2.7197,                 1.9834,                0.00307,                0.00307,                0.00307
                    142,                0.59237,                0.85815,                 1.1094,                0.41968,                0.40605,                0.34721,                0.23945,                 1.5506,                  2.755,                 2.0112,              0.0030205,              0.0030205,              0.0030205
                    143,                0.59395,                0.84102,                 1.1118,                0.42114,                0.33873,                0.33673,                0.23915,                 1.5292,                 2.8169,                 1.9837,               0.002971,               0.002971,               0.002971
                    144,                 0.5839,                0.83513,                 1.1009,                0.40403,                0.37353,                0.33617,                0.23306,                 1.5447,                  2.823,                 1.9967,              0.0029215,              0.0029215,              0.0029215
                    145,                0.61727,                0.86798,                 1.1183,                0.40988,                0.39459,                0.33785,                0.23155,                 1.5566,                 2.7699,                 2.0237,               0.002872,               0.002872,               0.002872
                    146,                  0.588,                0.83644,                 1.0985,                 0.4034,                0.40417,                0.34123,                0.23207,                 1.5298,                 2.7856,                 1.9965,              0.0028225,              0.0028225,              0.0028225
                    147,                0.59784,                0.84504,                 1.1041,                0.45378,                0.36741,                0.33942,                0.22849,                 1.5387,                 2.7952,                 1.9988,               0.002773,               0.002773,               0.002773
                    148,                0.57929,                0.81842,                 1.0966,                0.41791,                0.38935,                0.34288,                0.23241,                 1.5457,                 2.8747,                 2.0032,              0.0027235,              0.0027235,              0.0027235
